id,text,language,category,is_synthetic
277,काफ़ी टाइम से pf उमंग पोर्टल बंद है.. कुछ भी नहीं देख पा रहे है..... जल्दी सुरु करें please,hinglish,Water Resources,False
278,Just a pointer to the web with a lot of useless garbage. Simply complicating and confusing. Nothing useful or worth it.,en,Environment,False
279,"ok good but,,,1995 to 2000 all marks memos no availability please AP all certificates uploaded tq",en,Public Administration,False
280,bakes epf not open anytime traffic,en,Urban Development,False
281,"Total garbage, when you close the app and open it again.it asks for login as session expires every time.No progress in grievances .",en,Environment,False
282,this app and MCD is a curse to the nation.. corrupt...,en,Public Administration,False
283,"Now sign in working. Filed complain for open rain water drainage, Complain solved in 3 months.",en,Urban Development,False
284,class 5 student can design better app than this .,en,Education,False
285,"there is no solution , they do not clean or resolve any situation very bad app corruption is inside this app",en,Public Administration,False
286,"garbage app just like a dumped garbage bag on the road. it doesn't even opening or logging in . everytime I try it shows ""something went wrong"" .",en,Environment,False
287,"4rth class, इससे कारवाही तो जल्दी होती है। लेकिन इसका एप्लीकेशन बिल्कुल भी नहीं काम करता है",hinglish,Water Resources,False
288,भ्रष्टाचार सारा सिस्टम भ्रष्ट है,hi,Public Administration,False
289,Looks like the app has been developed by some school students. nothing works properly.,en,Education,False
290,"Pathetic experience. Doesn't load, doesn't take file expanding 2 mb and does not submit the complaint even when file is just 1 mb. I wish they spent some money on development of the app rather than being corrupt",en,Public Administration,False
291,फालतू ऍप्स है सन 2023 जल जीवन मिशन योजना के बारे में मैने शिकायत दर्ज की थी अभी तक उस शिकायत निराकरण नही किया गया है । हमारी सजगता को ठेंस पहुंचाई है !,hi,Water Resources,False
292,very very bad services no effected any complain of government office,en,Public Administration,False
293,"cpgram app आश्चर्यजनक, बहुत बढ़िया,मेरा बिजली बिल में मकान संख्या, बिना भाग दौड़ के बदल गया।",hinglish,Water Resources,False
294,बेकार ऐप है ना रजिस्ट्रेशन हो रहा है ना वर्क कर रहा है लगता है सरकार ने ऐप बनाने वाले को पेमेंट नहीं की है,hi,Public Administration,False
295,It's good apple but you need to still bribe the official to get your work done they didn't come to your house to get it done in free.,en,Public Administration,False
296,"This portal is a fail, cause gobarmint and their employees are corrupt and simply don't do what they are supposed to",en,Public Administration,False
297,Corruption corruption corruption,en,Public Administration,False
298,महोदय में अपनी आईडी mygrievance app में लोगिन कर रहा हूँ तो पिछले 15 दिनों से लोगिन नहीं हो रही है कृपया इस समस्या का जल्द से जल्द समाधान किया जाए महोदय यह एप डाउनलोड नही हो रहा है क्या कारण है,hinglish,Water Resources,False
299,"Excellence app , to fight against corrupt government officer's",en,Public Administration,False
300,भारत का सबसे बेकार पोर्टल लापरवाह अधिकारी ओर सरकार,hi,Public Administration,False
301,Complaint Closed by without any solution. All are corrupted.,en,Public Administration,False
302,All grievance related to agriculture and farmer welfare get stucked at same desk officer (Deputy Secretary) for many days until we do not call them. Disappointing...,en,Agriculture,False
303,इसमे सरकारी कर्मचारियों के लिये भी ऑप्शन दे शिकायत करने हेतु बार बार आप सरकारी कर्मचारी हो अपने विभाग में शिकायत करे मत लिखे क्योंकि एक ऑनलाइन सिस्टम बेहतर कार्य करता है।,hi,Public Administration,False
304,Even tier 3 college students could have developed superior app than what these IIITian have made. Poor way of wasting gov money 🤮 shame on you IIT Kanpur 😠,en,Education,False
305,"स्टेटस वाला पार्ट भी हटा दिया,पहले तो अधिकारी लोग शिकायत को गंभीरता से नही लेते थे,अब एप devplar ने स्टेटस ही हटा दिया।धन्य हो सरकारी अधिकारी।",hinglish,Public Administration,False
306,सरकार का हाथ भ्रष्टाचार के साथ नेताओ का विकास और आम जनता का सर्वनाश,hi,Public Administration,False
307,Corrupt govt officials must be hanged till death in public to set an example to other corrupts. CPGRAMS is not making any impact to the corrupt governance.,en,Public Administration,False
308,"So pathetic , corruption is in blood of every indian government officers ,helpline never work ,no mail reply.",en,Public Administration,False
309,Close complaint without even checking with me. BJP govt is one of worst govt anti citizens and only for corporates and corruption,en,Public Administration,False
310,सरकारी app चल ही नही रहा है। ऐसे चलाएंगे भारत के लोग,hinglish,Public Administration,False
311,सरकारी koi भी नही बनता to सरकारी ऐप कहा से चलेगा,hinglish,Public Administration,False
312,"This is a dummy app so as the main portal. 2 years passed , the griveances is still under process. Any report on corruption and no one will address",en,Public Administration,False
313,no grievance full corrupted government plps have desinged this app to name sake lot off issues pls dont wast poplies money,en,Public Administration,False
314,Reply from goverment via pdf is corrupt. Phone number given by authority is out of order. Email message have no reply. Cheating app,en,Public Administration,False
315,"भारत के सभी नागरिकों को इस app को download करना चाहिए...य़ह app हमारे आपके देश, समाज, शहर, नगर, मोहल्ला में नागरिकों को मिलने वाली सरकारी सुविधाओं का सही ढंग से लागू कराने में अत्यंत महत्वपूर्ण है",hinglish,Public Administration,False
316,भारत सरकारचा मस्त ॲप आहे मी स्वतः वापरतो अहे,hi,Public Administration,False
317,"Lodged 2 complain , no response on any of them since 2 months. Govt departments are all corrupt and full in inefficient incompetent fools.",en,Public Administration,False
318,Really awful experience. Just like government offices. Maybe government do not want to listen citizens grievances.,en,Public Administration,False
319,Helpful to Stop corruption in our country,en,Public Administration,False
320,"This is most inactive app of Government of India. Every time they just showing ""no internet connection"". I tried for almost 12 hours but it doesn't helpful at all. Just a GARBAGE.",en,Environment,False
321,Useless App and Government is corrupted.,en,Public Administration,False
322,Does not let me to login. Even 1st year college student can make better app than this.,en,Education,False
323,देरी होती है राज्य सरकार के अधिकारी ध्यान नही देते गलत रियोर्ट भी भेजते है,hi,Public Administration,False
324,बहुत अच्छी ब्यबस्था सरकार ने की है लेकिन जो अधिकारी संतोषजनक समाधान न दे उनके खिलाफ कार्यवाही होनी चाहिए।,hi,Public Administration,False
325,"बकवास एप्लीकेशन है, चलती ही नहीं है। ज्यादातर सरकारी एप्लिकेशन नाम की ही है सिर्फ। कुछ काम की नहीं है।",hi,Public Administration,False
326,प्ले स्टोर वालों से विनती है कि इस ऐप को अपने प्ले स्टोर से हटा लिया जाए अप की नहीं इस ऐप के कारण प्ले स्टोर की बेइज्जती हो रही है कोई काम का ऐप नहीं है पता नहीं क्यों बना दिया है जैसी सरकार वैसा अप,hi,Public Administration,False
327,one of the corrupted app these app operator dnt want us report the corruption that's why they slow the app server so they don't get complaint .we can't report our problem through this app,en,Public Administration,False
328,corruption on top.,en,Public Administration,False
329,very bad experience with this app all the departments are corrupted..,en,Public Administration,False
330,"meri sadak ऐप कचरा please wait से आगे नही बडता,इसे पचास से ज्यादा खोल चुका हू मजाल है ये खुल जाए, government खुद इसे बंद करके रखा माननीय प्रधानमंत्री मोदी जी गुजारिश करता हू, या इस ऐप कि मरम्मत कर खोल देवे।",hinglish,Environment,False
331,"unprofessional app and worst ui , looks like a 1st year college student has made this app. problem not solved and no option available to contact in the contact section",en,Education,False
332,"बहुत ही घटिया ऐप है, पिछले एक साल से समय समय पर इस्तेमाल करने का कोशिश कर रहा हु लेकिन ऐप में login ही नहीं होता, न इसकी कोई सुनवाई। सरकार कोई भी सिर्फ प्लेटफॉर्म का दिखावा। 🤬😡🤬",hinglish,Public Administration,False
333,nice to see the govt is acting on my request to fix potholes. in fact somebody called me to check if I am happy about their actions to close the potholes. Thank you for quick actions.,en,Urban Development,False
334,एकदम बेकार है sign up नही होता तो आगे क्या होगा इसमे। सरकार इतनी बेकार एप्प बनाएगी तो कैसे चलेगा।,hinglish,Public Administration,False
335,no improve full corruption,en,Public Administration,False
336,worst app worst road and panchayat department,en,Rural Livelihoods,False
337,"The app was Smooth in the beginning But now doesn't do any thing except saying ""Please wait""and does nothing. Has it been done deliberately to support corruption???",en,Public Administration,False
338,कचरा अप रजिस्टर्ड नहीं हो रहा है बिल्कुल बकवासहै मोबाइल नंबर डालने के बाद में भी एरर बता रहा है,hi,Environment,False
339,"इस apps पर कोई भी सुनवाई नहीं होती है सब डाटा fill करने के बाद भी केस closed कर देते हैं सब लिख देते हैं कि आपने विवरण पूर्ण नहीं भरा है, सब के सब घूसखोर भरे पड़े हैं इस सरकार में छोटे से लेकर बड़ा कर्मचारी.",hinglish,Public Administration,False
340,हमारे गाँव के सड़क तो ठीक है नहीं आपके गाँव की है,hi,Urban Development,False
341,Can't able register complain 3 rd class app like government office,en,Public Administration,False
342,"Full of Corruption, not registered any tab for complaint so why release application, only for political game ejanda...🤬🤬",en,Public Administration,False
343,बकवास एप्लीकेशन कोई सुनवाई नहीं होती है सिर्फ टाइमपास के लिए बनाया है सही जानकारी देने के लिए सड़क को उठाकर इस एप्लीकेशन में घुसेड दें क्या तब अधिकारियों को समझ में आएगा,hi,Urban Development,False
344,केवल ग्रामीण क्षेत्र दिखाता है शहरी क्षेत्र नही दिखाता है ऐप सही कार्य नही कर रहा है,hi,Urban Development,False
345,मोदी सरकार हमारे लिए ही ऐप को बनाया ताकि हमारी जो कोई भी शिकायत है डायरेक्ट उनके पास पूछे और वो इस पर एक्शन ले सके धन्यवाद मोदी जी,hi,Public Administration,False
346,ये ऐप एक कोमभंड हे जो सरकार द्वारा साइकोलॉजिकल किया जा रहा ही इस ऐप से कोई सड़क नही बनती,hi,Urban Development,False
347,पहले ये ऐप सुधारो फिर सड़क सुधारना बकवास ऐप,hi,Urban Development,False
348,"Bakwas, complaint karne ke baad bhi road repair ya naya banate hi nahi.",hinglish,Urban Development,False
349,"जीरो स्टार देने का ऑप्शन नहीं था नहीं तो मैं जीरो ही देता सोचा था अपने गांव की सड़क सही करा लूंगा मगर, यहां यहाँ एप्लीकेशन की हालत तो मेरे गांव की सड़क से भी बेकार है पहले सरकार को यह एप्लीकेशन सही करना पड़ेगा",hi,Urban Development,False
350,सरकार के तरह ये एप्प भी किसी काम का नही है,hi,Public Administration,False
351,Didn't think my complain would be heard so fast and responded quickly given my small village without even a panchayat. But we did got a call from pwd and officials for assessment. KUDOS TO THE GOV FOR THIS ONE.,en,Rural Livelihoods,False
352,Third class govt service these corrupt govt officials,en,Public Administration,False
353,ये सही दिखाता है कि सरकारी चीजें कैसी होतीं है साला एक घण्टे से otp का इतज़ार कर रहा हु। 😂😂,hinglish,Public Administration,False
354,मुझे सारे ऑप्शन नहीं मिल रहे मेरी सड़क के मेरे को असुविधा हो रही है,hi,Urban Development,False
355,"Seems the developer of this app don't want it to work, all corrupt contractors and govt officers will be exposed if it works",en,Public Administration,False
356,यह ऐप सड़क के बारे में शिकायत न करने के हमारे धैर्य की जाँच कर रहा है.. इससे सरकार के कामकाज के बारे में पता चलता है,hi,Urban Development,False
357,मेरी सड़क एप्लीकेशन एकदम प्रोड एप्लीकेशन है इसमें कोई सुनवाई नहीं होती मैं इसमें 1 साल होने चाहिए कंप्लेंट किए हुए भी कुछ सनी रहे 10-10 कंपनी दिया हुआ है लेकिन कोई फर्क नहीं पड़ता 23 को डाउनलोड करने से कोई फायदा नहीं है,hi,Urban Development,False
358,"बेकार एप्लीकेशन है,कयोकि इसमें otp नही आ रहा है 3 नंबर try किए तब भाई। यही उम्मीद थी इस सरकार की app से।कुछ तो ढंग से चलाओ। वरना बंध करो पब्लिक को बेवकूफ बनाना ।",hinglish,Public Administration,False
359,घटिया अनुभव। एप्प का ओटीपी 3 बार क्लिक करने पर भी नहीं आया। ऐसी एप्प लागू करके सरकार की नीयत तो अच्छी महसूस होती है। पर जिनकी हकीकत खुलेगी वे लोग शायद नही चाहते कि ये एप्प प्रॉपर चले और लोकप्रिय हो।,hi,Public Administration,False
360,सरकार और ऍप मे कुछ खास फरक नहीं है। दोनो ही अकार्यक्षम है।,hi,Public Administration,False
361,मेरी गांव की सड़क पर कोई ध्यान नहीं है,hi,Urban Development,False
362,How can we add sanction road but work not done yet or new road... for farmers,en,Agriculture,False
363,मेरी सड़क बहुत ही अच्छी प्लेटफार्म है परंतु समस्या का निराकरण करने में संबंधित अधिकारी उतना रुचि नहीं दिखाते हैं जितना दिखाना चाहिए। हमें लगता है कि इस प्लेटफार्म से कोई भी समस्या का समाधान होता होगा,hi,Urban Development,False
364,Itna corruption hh har jagah aur yeh khatiya app bna kr public ka c... Katna..,en,Public Administration,False
365,"Dear Team Now my Request of new made State Balrampur updated checked by me ,Hope my issue for request will resolved ASAP ,Thanks for application update Jai Hind",en,Accessibility,False
366,Must use app for every traveller using Indian Rural/ग्राम्य Road network. Incredible India / अतुल्य भारत को अतुल्य बनाये रखने में सहयोग करें। जहाँ भी मार्ग ध्वस्त देखें त्वरित करें सूचित भारत सरकार को।,hinglish,Public Administration,False
367,"Garbage App, getting closed automatically after clicking on sign up.",en,Environment,False
368,Sach me ye bahut hi Acha app hai jiski sahayta se apni panchayat ke bare me poor Janki le sakte hai,hinglish,Rural Livelihoods,False
369,Good for Gram Panchayat,en,Rural Livelihoods,False
370,couldn't not open panchayat profile..user unfriendly,en,Rural Livelihoods,False
371,App not working properly.Money alloted to various scheme by panchayat is not showing,en,Rural Livelihoods,False
372,1 star rating isiliye de raha hu kyunki insay best service meri Panchayat application deti Hy,hinglish,Rural Livelihoods,False
373,"please update this application, data not showing. this is a great application to know ongoing work In our panchayat and ask to ask the responsible members.",en,Rural Livelihoods,False
374,It does not work properly. Please update all panchayat information as much as possible,en,Rural Livelihoods,False
375,not able to see ongoing work in the app and in my gram panchayat also .,en,Rural Livelihoods,False
376,"app बनाने वाले लोगों को भी यह पता है कि corruption हर जगह है , इसी लिए data ठीक से नहीं दिखा रहे हैं सब , पब्लिक को चुटिया बना रहे हैं सब । ऊपर से नीचे तक अब corrupt हैं ।",hinglish,Public Administration,False
377,who is Gaurav Kumar listed as a Developer of all the apps of Ministry of panchayati raj.,en,Rural Livelihoods,False
378,is app par hamaari panchayt hi nhi hai panchayat chhodo vidhansbha kshetr hi nhi hai,hinglish,Rural Livelihoods,False
379,this app very interesting. and take the information our gram panchayat investment. !,en,Rural Livelihoods,False
380,"Hi team, In many sections of this app it shown blur or not validate or error code url Government should fix this problem. it doesn't show proper or described yojna happend in our garm panchayat. Thank u",en,Rural Livelihoods,False
381,garbage...pathetic app,en,Environment,False
382,Good app for panchayat,en,Rural Livelihoods,False
383,Fake app with 0 details available for any gram panchayats,en,Rural Livelihoods,False
384,Ok panchayat knowledge..,en,Rural Livelihoods,False
385,Excellent app to view the approved and ongoing work of a panchayat. Thanks to the government for building this platform,en,Rural Livelihoods,False
386,Useful and corruption findout details not showing,en,Public Administration,False
387,"Good Application but need more details from Grampanchayat and regular ongoing, completed work details.",en,Accessibility,False
388,Waste app in the world.. No use of Indian peoples no details of Gram Panchayat development,en,Rural Livelihoods,False
389,It is very helpful application for a village activity and development and to break corruption,en,Public Administration,False
390,The blocks and gram panchayat under Gorkhaland Territorial Administration are still not visible in the app. Please arrange to include them,en,Rural Livelihoods,False
391,Good results for panchayat update,en,Rural Livelihoods,False
392,Some panchayath details only shows this app,en,Rural Livelihoods,False
393,Wow mujhe Aaj pta chla k meri villeage ki panchayat kitna paise khaa chuki hai,hinglish,Rural Livelihoods,False
394,No details of mokhavne grampanchayat Should provide every details but no single is provided,en,Accessibility,False
395,Plz update your information about gram panchayat. Newly sarpanch and members are not showing in it.,en,Rural Livelihoods,False
396,There is problem loading District Block Gram panchayat etc Plz correct ASAP,en,Rural Livelihoods,False
397,Very bad very hard to search gram Panchayat,en,Rural Livelihoods,False
398,Old app is better than this update.time west for finding grampanchayat or village.,en,Accessibility,False
399,"Wrost update , ever I seen Scroling in village panchayat too dispratiing , and also same name in village panchayat section Plz fix it",en,Rural Livelihoods,False
400,Selecting options needed for Block Panchayat....old version was good,en,Rural Livelihoods,False
401,Gram panchayat me gavu ka name search karne ka options nahi ae,hinglish,Rural Livelihoods,False
402,"Not district wise and tahashilwise, it's very difficult to find gram panchayat villages",en,Rural Livelihoods,False
403,Good app All panchayat budget show,en,Rural Livelihoods,False
404,After the latest update it is impossible to find Panchayats,en,Rural Livelihoods,False
405,"The apk is not working properly This apk directly lead to gram panchayat after selecting state instead of district, kshetra panchayat",en,Rural Livelihoods,False
406,User interface selecting grampanchayat is difficult to find..No search baar...No mandal district option...,en,Accessibility,False
407,Data not arrange well my grampanchayt not show in list,en,Accessibility,False
408,In this app 'grampanchayathi' & 'taluk panchayathi' are in interchanged order.. And most of all gramapanchayath information is not upto date... Just main toptics are briefly mentioned. Need more to be updated...,en,Accessibility,False
409,"Hello Developer, No search option to find the Grama Panchayat in the list. I suggest you to have search option in all the dropdowns. Please update the design at the earliest for better user experience.",en,Rural Livelihoods,False
410,Give option for selecting district and panchayat,en,Rural Livelihoods,False
411,The user interface for selecting Panchayat name is bad. It is possible to select using pc but not mobile. They should change it to be usable. I found 2 instances of the name Gollapudi in Andhra Pradesh.,en,Rural Livelihoods,False
412,Update ur app app can't be open some error are available in Android mobile phone.. it's most important app for ground Level of government to any grampanchayat...,en,Accessibility,False
413,"New version of this app is devasting,We have to scroll through thousands of panchayats to reach a particular panchayat.",en,Rural Livelihoods,False
414,Grampanchayat information not available timely,en,Accessibility,False
415,Best For Farmer and Who Do Fround with Villagers Thanks GgramSwaraj,en,Agriculture,False
416,No data available any grampanchayat,en,Accessibility,False
417,"Nice application for tracking down the corruption. In my village, a non-existent well repair cost was 8L, cost of building 50 mtrs road is 15L 😂😅",en,Public Administration,False
418,Very nice portal. This will stop corruption and the village will develop.,en,Public Administration,False
419,Need to develop to upload each and every bill in grama Panchayat,en,Rural Livelihoods,False
420,बिहार सरकार आपके क्षेत्र के विकास के लिए कितना पैसा हर साल देती है उसकी सभी जानकारी आपको मिलेगी,hi,Public Administration,False
421,"It is a good initiative by the government, but has to put report or complaint option. With that we can stop small part of curroption which is happening in some gram panchayatis",en,Rural Livelihoods,False
422,अच्छा है लेकिन प्रधान लोग बहुत घोटाला कर रहे हैं सरकार को इस पर विशेष ध्यान देना चाहिए,hi,Public Administration,False
423,"This app is very good but there must be an option to report to the area panchayat, please implement this option and the completed work is not visible in any year please fix it",en,Rural Livelihoods,False
424,Its amazing for Panchayat development and transparency.,en,Rural Livelihoods,False
425,It is very bad that there is nothing available to complain. There is a lot of corruption in the village. No concrete facility has been provided in this app to complain.,en,Public Administration,False
426,How to upload photo to pradhan work ... And how to complain a gram panchayat... Sara pesa kha gaye kuch kaam nahi kiya,hinglish,Rural Livelihoods,False
427,A very good initiative by indian government.App provides must needed data for transperancy in panchayat system.,en,Rural Livelihoods,False
428,Panchayat level data are open to see for every one but zila parishad and Panchayat samiti approved activity not showing... Ye kaisi pardarshita h?,en,Rural Livelihoods,False
429,It provides complete information of the panchayat including all the expenses,en,Rural Livelihoods,False
430,"Please update monthly billing details of every gramapnchyat,And grampanchayat are divided in my village so please update soon....Or customer support kuch to dikhao yar....Sarkari to sarkari app b vaisa hi 😂",hinglish,Accessibility,False
431,This shows how much corruption did that local political leaders.,en,Public Administration,False
432,This app not showing full information about Panchayathi funding and work process statuses,en,Rural Livelihoods,False
433,E gramswaraj app he ek mast app ahe hya app mule sagali gawachi grampanchayt chi mahiti milali....very good app ..marathi bhashya add kara app madhe,hinglish,Accessibility,False
434,It's amezing for gram Panchayat information,en,Rural Livelihoods,False
435,"We need pic of work done by Grampdhan, many fake work amount entry in govt. Approved budget there should be payment receipt, and pic of work so it can be cleared to people and govt.",en,Accessibility,False
436,Dear Ministry of Panchayat Raaj Thank you soo much for this App Hmare panchayat me Bahot sare ghotale huye hai,hinglish,Rural Livelihoods,False
437,Very good app for panchayati raj funds,en,Rural Livelihoods,False
438,Super detail gram panchayat,en,Rural Livelihoods,False
439,Best panchayat app,en,Rural Livelihoods,False
440,कोई काम होता नहीं है बड़ा पैसा उठ जाता है इनकंप्लीट वर्ड दिखा रहा है नहीं कुछ का पैसा बर्बाद हो रहा है सरकार को इस पर बड़ा कदम उठाना चाहिए,hi,Public Administration,False
441,Report details of Panchayats in Mayiladuthurai Dt,en,Rural Livelihoods,False
442,Good app Every information about grampanchayat is here,en,Accessibility,False
443,"Panchayat samiti activity list not avsilable, payment status approved/rejected, geo tag asset also not available please add",en,Rural Livelihoods,False
444,Very useful Isse grampanchayat me hue karyo ka poll khulti hai,hinglish,Accessibility,False
445,Grampancaytbhogakryt,hinglish,Accessibility,False
446,I love this application with a good initiative in our corrupt society.,en,Public Administration,False
447,बहोत अच्छा ऐप्लिकेशन है इससे पता चलेगा की सरकार ग्राम पंचायत को कितना पैसा देती है ओर कितना काम हो रहा है सरकार द्वारा दि गई सभी प्रकार की ग्रांट की जानकारी मिलेगी अब ग्रामीण लोगो का जीवन अच्छा होगा,hi,Public Administration,False
448,Gram panchayat Data in not updated,en,Rural Livelihoods,False
449,"हमारे पंचायत में सारा बिल approve ho gya par ek bhi kam panchayat me nhi huaa bihar, muzaffarpur,sakra,harlochanpur ke har word me sara bill pass hai par ek bhi kam nhi huaa",hinglish,Rural Livelihoods,False
450,Good app but need some improvment like that should be an option to report corruption pls add this option.,en,Public Administration,False
451,Very important information app is app se ham apne gram Panchayat ka kul kharch aur kaam bina kisi roktok ke dekh sakte he is app hamari knowledge me izafa hoga,hinglish,Rural Livelihoods,False
452,panchayat is not apdate deta,en,Rural Livelihoods,False
453,"इस ऐप में यह भी व्यवस्था होनी चाहिए कि हम सब संबंधित योजना की शिकायत भी कर सके। यदि काम नहीं हुआ है तो या काम में भ्रष्टाचार हुआ है तो, तथा शिकायत करने पर त्वरित कार्यवाही हो। तब इस ऐप की प्रासंगिकता और बढ़ जाएगी।",hi,Public Administration,False
454,It's good for grampachayat information,hinglish,Accessibility,False
455,My Panchayat Took approx 20 lakh Rupees For CC road But Where CC road. Thanks For This application.,en,Rural Livelihoods,False
456,"Plz make improvement,edit all options related to panchayat and citizens update regularly Good initiative but need improvement plz do it",en,Rural Livelihoods,False
457,No details for total Panchayat,en,Rural Livelihoods,False
458,"This application is not fully updated as not give fully information of gram Panchayats and their mukhia , so on ..",en,Rural Livelihoods,False
459,Data is not available for most panchayats in Andhrapradesh for eg in East Godavari district,en,Rural Livelihoods,False
460,"Block panchayat ""Thane"" in Thane zilla in Maharashtra state is not shown",en,Rural Livelihoods,False
461,If we don't have the details on what the expenditure has been incurred what is the use. But thank you atleast we got to know how much money our panchayat is getting,en,Rural Livelihoods,False
462,Panchayat activities are not fully being updated in kashmir why??????,en,Rural Livelihoods,False
463,Need more information about gramapanchayathi,en,Rural Livelihoods,False
464,"Overall good app but plzz we need more deatils about work that has been done at panchayat level,like photos Of Work which is done by Panchayat ,and add option to rate the work done by panchayt. Thank you.",en,Rural Livelihoods,False
465,Nice app.. alll information about public works by every Gram Panchayat in country.. wel done. Need some improvements like validate voucher with particular details of work done.,en,Rural Livelihoods,False
466,Good app but not get full information about the grampanchayat,en,Accessibility,False
467,Not exact data base to gram panchayat So I think ban this app,en,Rural Livelihoods,False
468,Bhai bahut useful app h mere gram panchayat ke har ek work ka hisab mil jata h,hinglish,Rural Livelihoods,False
469,EgramSwaraj Best Application Gram panchayat,en,Rural Livelihoods,False
470,No ER details and no approved activities show of our panchayat please fix it,en,Rural Livelihoods,False
471,helpful to stop corruption,en,Public Administration,False
472,Hope it will ensure some extent of transparency at Panchayat level,en,Rural Livelihoods,False
473,This app should also have an mechanism to report the work progress or the delayed work or not done work against the money allotted...this will also become a tool to check against corruption . Thanks,en,Public Administration,False
474,"This app is useless in Karnataka, serve it in Kannada. karnataka farmers cannot understand English and Hindi isn't even a langauge for our farmers. ಕನ್ನಡ ಬಳಸಿ",hinglish,Agriculture,False
475,This app very useful but sabhi jankari nhi deta h jaese ki kon sa kary ho chuka h u kitna kary ho rha kitna paese gram panchayat m aya h 😌,hinglish,Rural Livelihoods,False
476,"Good Application, All Information of panchayat work",en,Rural Livelihoods,False
477,App ho to Madhya Pradesh ke app ka name Panchayat darpan jaisa application good enfarmation,en,Rural Livelihoods,False
478,Super app.. I had reviewed all my panchayat bills... All are fake,en,Rural Livelihoods,False
479,A column for feedback about gram panchayat progress should also be provided.,en,Rural Livelihoods,False
480,पूर्ण विवरण नही है 2019-20 के पीछे का विवरण नही है और अगर ये विवरण जो मिला है उसके खिलाफ़ शिक़ायत कहा पर करा सकता। अधूरे कार्य को सरकारी नौकर शाह ने गलत अमिली जामा पहनाने की कोशिश की है।,hi,Public Administration,False
481,sir Weldon this Aap are bast on Panchayati Raj,hinglish,Rural Livelihoods,False
482,ಒಳ್ಳೆಯ ಮಾಹಿತಿ Super information of my gram panchayath,en,Rural Livelihoods,False
483,Best tool to curb panchayat corruption,en,Public Administration,False
484,No datas of my panchayath,en,Rural Livelihoods,False
485,Sir Esme sikayt ka opsan hota to jada badhiya hota mere villege me koe bhi kam nhi huaa kuchh ko chhod k pura fand sarpanch our siketry kha liye mp Sidhi Rampur naikin vill khatoli janch karaye plz🙏🙏,hinglish,Accessibility,False
486,ये ऍप तो अच्छा है। लेकीन कोणसे काम मे कितना खर्च किया किया और सरकारने कितने पैसे भेजे वो सब डिटेल मै दिखाना चाहिए। ओर हर महिने का डेटा इसमे देना चाहिए । की इस काम मे इतना खर्च किया। और इतने पैसे बचे हैं।,hi,Public Administration,False
487,Expose Corruption,en,Public Administration,False
488,"Add more informations like work in progress in the Panchayat, funds given to a Panchayat for any purpose. Report and complaint about the Panchayat activities etc.",en,Rural Livelihoods,False
489,No data available for all wb panchayat,en,Rural Livelihoods,False
490,Initially it showed the data of gram panchayat work & just after few days it stopped showing the details. This is to hide seer sheer corruption of the politicians & gov. Officials. It should show full details.,en,Public Administration,False
491,It is best app to know local financial progress of gram panchayat but other options doesn't open,en,Rural Livelihoods,False
492,After new update no any work details show So please improve for show all details our grampanchayt for our sutable action our grampradhan,en,Accessibility,False
493,Please improve technical issue of login data of gram panchayat...,en,Rural Livelihoods,False
494,Nice app for gram Panchayat fund details,en,Rural Livelihoods,False
495,"भारत सरकार का अच्छा प्रयास है. पर इस एप्प पर और अपडेट की जरुरत है जैसे की सरपंच, वार्ड मेंबर, फाइनेंस सेक्टर, ग्राम से जुड़े सभी जानकारी.....",hi,Public Administration,False
496,Great initiative. Congratulations GOI. Application redirect to another site location. We would like to see all the reports within app only. Also grampanchayat data is not updated. Report values are nill.,en,Accessibility,False
497,लेखा जोखा साफ है लेकिन करा कुछ भी नहीं है ।1-बिजली के लिए रुपए लिए लेकिन बिजली दी नहीं। 2-आवास के लिए रुपए दिए लेकिन घर मिला नहीं। प्रतापगढ़ सांगीपुर खानिपुर,hi,Water Resources,False
498,"But please add the features to see plots and land and survey As MODIJI said that the drone image will show plot and land ownership name , certificate",en,Public Administration,False
499,बहुत मोडिफिकेशन की जरूरत है। सरकार इस पर पहले ध्यान दे।,hi,Public Administration,False
500,Incomplete nothing is up-to-date about panchayat,en,Rural Livelihoods,False
501,Goop started the app for gram Panchayat but now this well be technical imprument in this app,en,Rural Livelihoods,False
502,"This app not inspire me_ There is lots of disadvantage in this app ,like technical problems, Not updated any Panchayat data clearly...... According to me a lot of #Improvement should be done in this app😕😟😟",en,Rural Livelihoods,False
503,"Panchayat name in this app is mentioned Dhaneta is wrong, actual name of the panchayat is Ghaneta. Kindly edit this clerical mistake. Overall great initiative by central government of our country.",en,Rural Livelihoods,False
504,A Lots of improvement required.it has a option to report about data if any ambigouty in it.its controle corrupt gram pradhan..,en,Public Administration,False
505,83997 gram panchayat me koi data nahi show kar raha. ye app sirf bekuf banane ke liye launch kiya gaya hai. app me mantralaya ko sudhar karna chahiye anytha kisi kam ka nahi hai.,hinglish,Rural Livelihoods,False
506,Please provide description of approved work and completed work so that any villagers can verify work and corruption by mukhiya can be reduced.,en,Public Administration,False
507,Useless app not showing any detail of gram Panchayat🤔,en,Rural Livelihoods,False
508,Kisi kaam ka nahi hain..Mere or mere aas paas k panchayat ka pichle 5 years ka data nil hain.. Waste of time.. Waste of Data.,hinglish,Rural Livelihoods,False
509,सरकार की बहुत ही सराहनीय पहल है इस ऐप को लगातार अपडेट करते रहना होगा,hi,Public Administration,False
